genre,year,title
Adventure,2009,Avatar
Fantasy,2007,Pirates of the Caribbean: At World's End
Crime,2015,Spectre
Drama,2012,The Dark Knight Rises
Action,2012,John Carter
Family,2007,Spider-Man 3
Adventure,2010,Tangled
Fantasy,2015,Avengers: Age of Ultron
Crime,2009,Harry Potter and the Half-Blood Prince
Drama,2016,Batman v Superman: Dawn of Justice
Action,2006,Superman Returns
Family,2008,Quantum of Solace
Adventure,2006,Pirates of the Caribbean: Dead Man's Chest
Fantasy,2013,The Lone Ranger
Crime,2013,Man of Steel
Drama,2008,The Chronicles of Narnia: Prince Caspian
Action,2012,The Avengers
Family,2011,Pirates of the Caribbean: On Stranger Tides
Adventure,2012,Men in Black 3
